archive_id,acquisition_id,roi_id,roi_index,manual_label,manual_class,hard_invalid_v13b,box_size_px,quant_size_px,channel_count,maxLocalSNR,meanBackgroundCV,roiset_status_label,results_roiset_label_agree,centerMean_Channel_1,backgroundMean_Channel_1,backgroundSD_Channel_1,localSNR_Channel_1,backgroundCV_Channel_1,centerMean_Channel_2,backgroundMean_Channel_2,backgroundSD_Channel_2,localSNR_Channel_2,backgroundCV_Channel_2,fitted_discard_score
Archive_001,Acquisition_001,ROI_0001,1,0,keep,False,48,24,2,10.67555380707935,0.06349293902453901,0,True,10083.3125,9808.965460526315,283.2677462931378,0.9685078624863235,0.028878452822887056,14595.44642857143,7128.941611842105,699.4021061256806,10.67555380707935,0.09810742522619097,0.045823527692206295
Archive_001,Acquisition_001,ROI_0002,2,0,keep,False,48,24,2,10.983360925026025,0.07965916287909681,0,True,23655.390625,11522.58634868421,1104.653152995338,10.983360925026025,0.09586850725761588,7130.455357142857,6167.247532894737,391.31073661030695,2.461490917913009,0.06344981850057775,0.07784204392883019
Archive_001,Acquisition_001,ROI_0003,3,0,keep,False,48,24,2,6.729840810780182,0.079253375129356,0,True,16286.439732142857,10387.243421052632,876.5729349259807,6.729840810780182,0.08438937063411477,7157.716517857143,5912.362664473684,438.2088280810912,2.8419186779893084,0.07411737962459723,0.31723298837235475
Archive_001,Acquisition_001,ROI_0004,4,0,keep,False,48,24,2,8.939199237728674,0.060961594440263944,0,True,18522.90848214286,10662.922697368422,879.2717978139112,8.939199237728674,0.08246067450445954,5932.714285714285,5765.495065789473,227.52093191886817,0.7349619154357228,0.03946251437606834,0.08012785943166549
Archive_001,Acquisition_001,ROI_0005,5,0,keep,False,48,24,2,6.777816228167229,0.04736866225173414,0,True,14246.566964285714,10403.643914473685,566.9854301805382,6.777816228167229,0.05449873475501604,6785.252232142857,6110.3067434210525,245.8701262857209,2.745130117749496,0.04023858974845223,0.1048697921543328
Archive_001,Acquisition_001,ROI_0006,6,0,keep,False,48,24,2,9.412408131573786,0.03857559159590996,0,True,14700.919642857143,10290.143092105263,468.6129722696569,9.412408131573786,0.04553998599195215,6273.930803571428,5989.070723684211,189.32169569033636,1.5046351600037873,0.03161119719986777,0.02696376726840721
Archive_001,Acquisition_001,ROI_0007,7,0,keep,False,48,24,2,5.923230464867685,0.04995656938473107,0,True,12144.299107142857,9996.546052631578,362.5982590497187,5.923230464867685,0.03627235418520031,8631.6875,6355.4276315789475,404.4644008421812,5.627837366357568,0.06364078458426184,0.15605606167147176
Archive_001,Acquisition_001,ROI_0008,8,0,keep,False,48,24,2,9.16006737798543,0.042652866144220716,0,True,10063.839285714286,9438.268914473685,273.9466516581384,2.283548156015641,0.029025094976689883,9210.011160714286,6077.071546052632,342.0214596009534,9.16006737798543,0.05628063731175154,0.03522876047576861
Archive_001,Acquisition_001,ROI_0009,9,0,keep,False,48,24,2,9.896417436992762,0.03448210309071749,0,True,9489.93080357143,9443.322368421053,186.68037346408565,0.24966971238324998,0.019768505847936976,9100.075892857143,6120.3264802631575,301.09374746619886,9.896417436992762,0.049195700333498,0.018773631093726154
Archive_001,Acquisition_001,ROI_0010,10,1,discard,False,48,24,2,3.1241014436217105,0.09242183484410439,1,True,13973.111607142857,9981.877467105263,1277.562272565206,3.1241014436217105,0.1279881742463122,6117.410714285715,5554.627467105263,315.81109663743683,1.7820249293727255,0.05685549544189658,0.7781465403736919
Archive_001,Acquisition_001,ROI_0011,11,0,keep,False,48,24,2,8.659480134635867,0.030740700451119474,0,True,9931.104910714286,9263.159539473685,203.45357919768188,3.2830357365775535,0.02196373476357525,7839.886160714285,5841.0608552631575,230.8250927739069,8.659480134635867,0.0395176661386637,0.02621808189275693
Archive_001,Acquisition_001,ROI_0012,12,0,keep,False,48,24,2,6.8763926421578025,0.03359862187719227,0,True,12527.424107142857,10225.399671052632,334.77210448643797,6.8763926421578025,0.032739268415507866,6811.314732142857,6186.394736842105,213.17063727866176,2.9315481873042466,0.034457975338876685,0.05892346250047964
Archive_001,Acquisition_001,ROI_0013,13,0,keep,False,48,24,2,7.224338186838305,0.034671622613277754,0,True,13028.10044642857,10271.238486842105,381.6075449802541,7.224338186838305,0.03715302156298967,6500.044642857143,6104.167763157895,196.49452557598104,2.0146967379311,0.03219022366356584,0.053859954875089294
Archive_001,Acquisition_001,ROI_0014,14,0,keep,False,48,24,2,10.316781007752386,0.03733907455048781,0,True,8985.189732142857,8915.074835526315,233.75818498020644,0.2999462740629979,0.02622055218747989,8794.55580357143,5863.324835526316,284.1226314528229,10.316781007752386,0.04845759691349573,0.017899835368035556
Archive_001,Acquisition_001,ROI_0015,15,0,keep,False,48,24,2,8.864259981313866,0.03466172499155774,0,True,13122.058035714286,10039.854440789473,347.7113263173907,8.864259981313866,0.034633104331146934,5853.444196428572,5908.398848684211,204.96439831054823,-0.2681180376134187,0.03469034565196854,0.028452809377673284
Archive_001,Acquisition_001,ROI_0016,16,0,keep,False,48,24,2,4.597964116793751,0.0562673707680577,0,True,9645.58705357143,9646.610197368422,252.453904415788,-0.004052794506625132,0.026170219305083665,9016.41517857143,6453.660361842105,557.3672937918408,4.597964116793751,0.08636452223103173,0.29271065891337805
Archive_001,Acquisition_001,ROI_0017,17,0,keep,False,48,24,2,9.205909997274855,0.036205744983377454,0,True,9063.97544642857,8808.928453947368,236.63690784125262,1.0777988725761243,0.026863302282267177,8163.3125,5751.596217105263,261.9747839821002,9.205909997274855,0.045548187684487734,0.026513092979690976
Archive_001,Acquisition_001,ROI_0018,18,0,keep,False,48,24,2,7.340697998598956,0.0432376698704904,0,True,9412.328125,9192.816611842105,310.9625043285849,0.7059099090800468,0.03382668418817425,8142.732142857143,5872.962171052632,309.20356241841296,7.340697998598956,0.05264865555280655,0.07254644810131282
Archive_001,Acquisition_001,ROI_0019,19,0,keep,False,48,24,2,5.697670660878054,0.056965004509019146,0,True,13062.091517857143,8772.810032894737,752.8131652841787,5.697670660878054,0.08581209013547685,4893.448660714285,4811.245065789473,135.28219848399246,0.6076453210105018,0.028117918882561453,0.21451019934908933
